                  [µ/rho]
    E             Total
   keV            cm2 g-1
5.118542E+01  9.229354E+00
5.471721E+01  7.740874E+00
5.849270E+01  6.494178E+00
6.252870E+01  5.450937E+00
6.684318E+01  4.577946E+00
7.145536E+01  3.847860E+00
7.638578E+01  3.237158E+00
8.165640E+01  2.717949E+00
8.729069E+01  2.276602E+00
9.331374E+01  1.910244E+00
9.975239E+01  1.606060E+00
1.066353E+02  1.353347E+00
1.139931E+02  1.143379E+00
1.218587E+02  9.687230E-01
1.302669E+02  8.234478E-01
1.392553E+02  7.024441E-01
1.488640E+02  6.016049E-01
