x0,x0_err,A,A_err,fwhm,fwhm_err,eta,eta_err,offset,offset_err
32.9281573920732,0.00459171857511756,25942656.3879276,8.54416131808051e-09,0.407796386033608,0.0100164421702148,1.3868002740825e-11,0.112899178390608,6551325.07872857,1.87371220255528e-08
32.946442214864,0.00288026237478876,43908946.1413719,3.36683689633689e-09,0.298081277128595,0.00692284727416889,0.620785746732006,0.0847264958887088,5271355.53706365,9.56577587483754e-09
32.9371065108475,0.00315085098672223,48562938.7490821,4.18844765015866e-09,0.275302825867421,0.00820576151640237,0.999999999997813,0.101120308959514,4180951.35370708,8.41313876915191e-09
32.9240922144261,0.00336814270805691,47905205.3686529,3.21166384853919e-09,0.355533937940573,0.00775395178153303,0.382746978644601,0.0869737817736908,4984775.22080437,8.29128499533162e-09
32.9303151102373,0.00421065816506024,61496667.8657499,3.9237214036113e-09,0.310466242595026,0.0108513796718804,0.950189463740198,0.121113565510805,2866770.07111103,7.27933847474462e-09
32.9367739695017,0.00512582837040443,40829993.2392734,5.93763660345973e-09,0.395961965791044,0.0111438237347031,1.86688347253057e-11,0.127603685504494,7093563.90171523,1.41769286291439e-08
32.9204798176554,0.00407858778813086,42376358.6144727,4.40630718298776e-09,0.366111082421751,0.00880111335139368,1.00700998588177e-11,0.105783061758371,7358676.81790487,1.27497871024838e-08
32.8730906501654,0.00463145220815328,66287519.4723395,5.17704991187108e-09,0.235591547178302,0.0120628924566972,0.999999999994037,0.171929877893577,5232003.08248864,1.20656656576756e-08
32.8558302076544,0.00466848822178006,57761595.1853044,8.5870369744815e-09,0.160583459249904,0.0121605430264692,0.999999999952261,0.250956728194477,8414540.6694225,2.59538669080499e-08
32.9294923714792,0.00629021140420839,55623719.3882258,5.12849537079732e-09,0.333392631212751,0.0134825286515455,2.44934578742185e-12,0.173112997208789,6562705.93260576,1.7819756183984e-08
32.9298503926351,0.00593253894850694,56955259.8614932,4.73462009563802e-09,0.325792725671187,0.0126990614929088,6.88078116502606e-12,0.165934006647544,6499928.44119532,1.70981746500675e-08
32.9918761382515,0.00163058175034144,65453519.0334812,1.29812469876037e-09,0.257402960258343,0.00370588862405236,0.359057877482835,0.0544420151874632,5633491.56797242,5.31989114915353e-09
33.0002926997665,0.00121229535353078,67778919.8567624,9.74692980054119e-10,0.241968963360417,0.00275684212125967,0.36572762655525,0.0427705827630013,5802311.41371929,4.2096118456987e-09
32.991942553067,0.00110786536262844,55603308.4426249,1.01833279602508e-09,0.252047547401213,0.0024240431948502,0.167509015234366,0.0378604195513744,6616165.67024479,4.72356077373492e-09
32.9929784982684,0.00241556685500587,40558150.6728157,2.87418810091378e-09,0.276973686774886,0.00520429236733032,0.0718113798089385,0.0765317284570958,7030412.49098178,1.25348163471963e-08
32.9958530820592,0.00114871103047668,71452180.9459891,1.01206339367394e-09,0.209226312341485,0.0026669727041523,0.47124679300762,0.0463071613356392,5797644.40307751,4.56407930093096e-09
32.9968964769542,0.00129553316795065,64626089.4737859,1.27111467452599e-09,0.210584918701996,0.00302932942181419,0.504383430098679,0.0519403181835297,5894938.45979766,5.55908425048341e-09
32.9915106334481,0.00118606502250606,80356305.5357349,9.06575395070403e-10,0.209995668818178,0.00271786893283067,0.409195538121019,0.0476169345414896,5966409.14142331,4.26896008112308e-09
32.9893263630095,0.000997587202059796,81637141.7631243,7.43445394276398e-10,0.209489999586205,0.0022683355251283,0.37217424126421,0.0401367016481393,6050248.23230751,3.5963672218705e-09
