100	-8.59231e-07	3.94245e-06
200	-8.59231e-07	3.94245e-06
300	-8.59231e-07	3.94245e-06
400	-8.59231e-07	3.94245e-06
500	-8.59231e-07	3.94245e-06
600	-8.59231e-07	3.94245e-06
101	-7.63329e-07	3.59827e-06
202	-7.63329e-07	3.59827e-06
120	-8.59231e-07	3.94245e-06
111	-9.19536e-07	4.08055e-06
201	-9.53168e-07	4.18606e-06
121	-9.91522e-07	4.31046e-06
310	-8.59231e-07	3.94245e-06
210	-8.59231e-07	3.94245e-06
321	-9.73487e-07	4.27063e-06
320	-8.59231e-07	3.94245e-06
110	-8.59231e-07	3.94245e-06
211	-9.91522e-07	4.31046e-06
221	-9.92204e-07	4.32086e-06
230	-8.59231e-07	3.94245e-06
140	-8.59231e-07	3.94245e-06
401	-9.81805e-07	4.29352e-06
220	-8.59231e-07	3.94245e-06
202	-7.63329e-07	3.59827e-06
411	-9.68196e-07	4.25586e-06
330	-8.59231e-07	3.94245e-06
212	-8.42796e-07	3.84270e-06
302	-8.79810e-07	3.95710e-06
501	-9.58539e-07	4.22868e-06
510	-8.59231e-07	3.94245e-06
331	-9.54195e-07	4.21637e-06
222	-9.19536e-07	4.08055e-06
241	-9.52140e-07	4.21053e-06
132	-9.29645e-07	4.11213e-06
511	-9.46411e-07	4.19423e-06
430	-8.59231e-07	3.94245e-06
402	-9.53168e-07	4.18606e-06
250	-8.59231e-07	3.94245e-06
520	-8.59231e-07	3.94245e-06
